Account_Length,Vmail_Message,Day_Mins,Eve_Mins,Night_Mins,Intl_Mins,CustServ_Calls,Churn,Intl_Plan,Day_Calls,Eve_Calls,Night_Calls,Intl_Calls,State
128,25,265.1,197.4,244.7,10.0,1,0,0,110,99,91,3,16
107,26,161.6,195.5,254.4,13.7,1,0,0,123,103,103,3,35
137,0,243.4,121.2,162.6,12.2,0,0,0,114,110,104,5,31
75,0,166.7,148.3,186.9,10.1,3,0,1,113,122,121,3,36
118,0,223.4,220.6,203.9,6.3,0,0,1,98,101,118,6,1
147,0,157.0,103.1,211.8,7.1,0,0,1,79,94,96,6,24
141,37,258.6,222.0,326.4,11.2,0,0,1,84,111,97,5,49
74,0,187.7,163.4,196.0,9.1,0,0,0,127,148,94,5,39
168,0,128.8,104.9,141.1,11.2,1,0,0,96,71,128,2,12
95,0,156.6,247.6,192.3,12.3,3,0,0,88,75,115,5,26
85,27,196.4,280.9,89.3,13.8,1,0,0,139,90,75,4,13
93,0,190.7,218.2,129.6,8.1,3,0,0,114,111,121,3,46
76,33,189.7,212.8,165.7,10.0,1,0,0,66,65,108,5,45
73,0,224.4,159.5,192.8,13.0,1,0,0,90,88,74,2,43
147,0,155.1,239.7,208.8,10.6,0,0,0,117,93,133,4,9
111,0,110.4,137.3,189.6,7.7,2,0,0,103,102,105,6,40
132,0,81.1,245.2,237.0,10.3,0,0,0,86,72,115,2,45
174,0,124.3,277.1,250.7,15.5,3,0,0,76,112,115,5,29
57,39,213.0,191.1,182.7,9.5,0,0,0,115,112,115,3,50
54,0,134.3,155.5,102.1,14.7,3,0,0,73,100,68,4,26
20,0,190.0,258.2,181.5,6.3,0,0,0,109,84,102,6,24
49,0,119.3,215.1,178.7,11.1,1,0,0,117,109,90,1,11
142,0,84.8,136.7,250.5,14.2,2,0,0,95,63,148,6,14
75,0,226.1,201.5,246.2,10.3,1,0,0,105,107,98,5,30
12,0,249.6,252.4,280.2,11.8,1,1,0,118,119,90,3,3
57,25,176.8,195.0,213.5,8.3,0,0,0,94,75,116,4,36
72,37,220.0,217.3,152.8,14.7,3,0,0,80,102,71,6,10
36,30,146.3,162.5,129.3,14.5,0,0,0,128,80,109,6,0
